iter	RMSE
473	4.591603196
474	4.588816027
475	4.57113503
476	4.552318294
477	4.549587686
478	4.529272272
479	4.513340232
480	4.508452718
481	4.490376351
482	4.485154333
483	4.461553148
484	4.458817433
485	4.456139468
486	4.441886697
487	4.41928772
488	4.414779952
489	4.412152332
490	4.398448194
491	4.3841011
492	4.379770231
493	4.362156735
494	4.34122537
495	4.338693581
496	4.328618701
497	4.312729321
498	4.30834511
499	4.290423131
