feature,importance
solvent_smiles_N#N,2.640751706103385e-05
polymer_name_poly(vinyl chloride),2.5549870266998492e-05
solvent_name_methane,2.5522384546622488e-05
polymer_name_polychloroprene,2.5418546423216065e-05
polymer_smiles_*CC(c1ccc(cc1)OC(=O)C)*,2.5016934503491113e-05
polymer_name_poly(n-butyl glycidyl ether),2.4953794527023705e-05
polymer_smiles_*CC(COCCCC)O*,2.4749524499553533e-05
polymer_smiles_*C([Cl])C*,2.4429402421978508e-05
polymer_name_poly[1-phenyl-2-[p-(trimethylsilyl)phenyl]acetylene],2.331705692830232e-05
polymer_smiles_*CC=C([Cl])C*,2.3173114337694484e-05
polymer_name_poly(p-acetoxystyrene),1.9721035511952015e-05
polymer_name_poly(n-pentyl methacrylate),1.8724244705133146e-05
polymer_smiles_*OC(C)C*,1.7406193839286533e-05
polymer_smiles_*C(C)C(=O)O*,1.692088973225672e-05
solvent_smiles_CC,1.6751931043669305e-05
solvent_name_oxygen,1.6370661149246564e-05
solvent_formula_CH4,1.5951667402922055e-05
solvent_name_methanol,1.5828522626791224e-05
solvent_name_water,1.5524690052930896e-05
polymer_smiles_*C1[C@@H]2CC([Si](OCCOC)(OCCOC)OCCOC)[C@@H](C2)C1*,1.5402234146401733e-05
polymer_smiles_*C(C)(C(=O)OCCCCC)C*,1.5240672232961628e-05
polymer_name_6FDA-DAM,1.482944835077233e-05
solvent_formula_N2,1.4699391718487541e-05
solvent_smiles_CCCC,1.4354760631290366e-05
polymer_smiles_*CC(OC(=O)c1ccccc1)*,1.4214572152714109e-05
solvent_formula_ClO2,1.3682434202684499e-05
solvent_formula_C4H10,1.2842454893750027e-05
polymer_name_poly(5-tris(2-methoxyethoxy)-2-norbornene),1.2450901117149635e-05
polymer_smiles_*C1[C@@H]2CC([Si](OCCC)(OCCC)OCCC)[C@@H](C2)C1*,1.1977238997434052e-05
solvent_name_argon,1.100916891267363e-05
solvent_smiles_CO,1.0726957062496637e-05
solvent_name_chlorine dioxide,1.038057666677019e-05
solvent_name_ethane,1.0205860225470998e-05
solvent_name_methylethylketone,8.555938442193406e-06
solvent_smiles_[O][Cl+][O-],8.017967706291703e-06
solvent_name_tert-butyl alcohol,7.884060245926133e-06
polymer_name_poly(5-tripropoxysilyl-2-norbornene),7.597080432971766e-06
polymer_smiles_*CC(c1ccc(cc1)C[N+](C)(C)C)*.[B-](F)(F)(F)F,7.063244586358723e-06
polymer_smiles_*C(c1ccc([Si](C)(C)C)cc1)=C(c2ccccc2)*,6.752682662391424e-06
polymer_smiles_*C1[C@@H]2CC(C[Si](OC)(OC)OC)[C@@H](C2)C1*,6.466366837856695e-06
solvent_formula_CH3COC2H5,6.325232501416613e-06
polymer_name_poly(5-triethoxysilyl-2-norbornene),5.625142555105388e-06
polymer_name_poly(5-methyltrimethoxysilyl-2-norbornene),5.4085171608658095e-06
solvent_name_2-propanol,5.365111370397746e-06
solvent_smiles_Cc1ccccc1,5.052046002455342e-06
